feature,importance
bin1,0.8229853514387369
bin2,0.010440362046653242
bin3,0.011853525907869481
bin4,0.01817534278978314
bin5,0.01076493170092242
bin6,0.0076955123890579905
bin7,0.006779442512589041
bin8,0.004611718109650107
bin9,0.0037596257705753682
bin10,0.005645208707990892
bin11,0.007375486166983881
bin12,0.006573042418997475
bin13,0.004024445423471413
bin14,0.005033089831440222
bin15,0.00774732719095972
bin16,0.00486424268188005
bin17,0.00411051609300539
bin18,0.004651185254309773
bin19,0.004376949454213633
bin20,0.006014039011259799
bin21,0.006297855422784782
bin22,0.004820066002819204
bin23,0.006878913527602825
bin24,0.002268991898250227
bin25,0.0025115810926986536
bin26,0.003732667168256219
bin27,0.0035934383144792135
bin28,0.004247657236786021
bin29,0.0034064102675716965
bin30,0.004761074168400913
