bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30
0.09778555,0.15780975,0.02429591,-0.003023146,0.010658867,0.016828712,-0.013577248,-0.015795438,-0.014037405,-0.0061945533,0.010640605,0.009484166,0.001536894,-0.0034259488,-0.010080207,-0.0060068006,0.008289648,0.0012785022,0.004576469,-0.005580143,0.0011719046,-0.005726213,-0.0057045077,-0.0031657275,0.0031793555,-0.0012655306,-0.006348768,-0.00022931004,-0.0103888465,-0.009562408
0.033648115,0.15229475,0.025200024,-0.0053811087,-0.006438302,0.009698631,-0.007824356,-0.019273784,-0.017398044,0.005658959,0.0074151442,0.0007037658,0.0017937525,-0.0071728434,-0.0040728347,0.002206914,-0.0031570746,0.0059207384,0.002534907,-0.0052156434,0.009096075,-0.00061991473,-0.0053297747,0.00021583098,0.00072207174,-0.007156198,0.016805638,-0.0013097598,0.0038375799,0.00037901592
0.016976628,0.06516939,0.026548572,0.0020822203,-0.0029304705,-0.0018424527,-0.0080833435,0.012045848,-0.011301821,0.003656868,-0.00076353666,0.018213175,0.0045780567,0.0073728804,0.0010099717,0.007490192,0.008872292,-0.0015459661,-0.0060340017,0.015288944,0.006245141,0.00034000925,0.0020265775,-0.011386257,0.00023304147,0.008405891,0.01107395,0.0141950445,0.016257634,0.0036234197
0.025635066,0.12026811,0.025707578,0.0069993157,0.005608315,0.014575167,0.004149181,0.013497767,0.013274518,0.008914954,0.006648718,0.0026556856,0.00029772424,0.015666388,0.012546756,0.0097967805,0.0073660216,-0.0012310493,-0.0047675525,0.00076275936,0.01228438,-0.0024074533,-0.0014261483,0.0017370905,0.002158546,-0.0012574183,0.000722092,0.0012439993,0.002505465,-0.0027835097
0.028883072,0.007422336,0.018248295,0.0028527516,0.025207702,0.011757811,0.03698407,0.028143767,0.006294897,-0.0019253999,0.003169368,-0.002963423,0.0004116779,-0.012840873,-0.010344623,0.0027776698,0.0075507457,0.0051075052,0.007096553,0.0006841675,0.0063291467,0.00017865293,-0.0027232626,-0.012590214,0.0012933927,-0.009927051,0.007412436,0.011377823,-0.009383545,-0.0065188687
0.106613904,0.186043,0.03465082,0.0028073175,0.0014063083,-0.012316719,-0.014731546,-0.02669388,-0.008381683,-0.0022569876,-0.009495001,-0.023793833,-0.0018661283,-0.010191589,-0.008914644,-0.001355847,-0.0026320969,-0.0024017678,0.0029225668,0.0067522773,0.0023293672,-0.0072642504,-0.0015788217,9.2249684e-05,-0.00018999272,0.0025429816,0.0045896336,-0.00032058128,0.014834231,0.0024654586
0.10024874,0.20320764,0.038839046,0.010445414,-0.019267816,-0.009439635,-0.017979361,-0.0073947445,-0.009573603,-0.0007806641,-0.0059003197,-0.018916726,-0.0022345851,-0.008890341,-0.0110072885,0.0009950014,0.00032128548,0.0031763595,0.004280367,-0.002538689,0.003518236,-0.0022047914,-0.002434197,-0.0012109323,0.00072544126,-0.01147039,0.0030399598,-0.00064121507,-0.0076633613,0.0038866398
-0.011073613,0.014516444,0.019385349,0.0028446945,0.013688738,-0.00087699026,0.0039844145,0.0054860697,-0.014785454,-0.004913356,-0.0140599925,0.008236288,0.0045157257,0.016996184,-0.003742302,0.0010457897,-0.002332192,0.0024245186,-0.0034045686,0.0064188577,0.0053910716,0.001155701,-0.003850133,-0.0014839784,-0.003983541,-0.0010018073,0.010063924,0.015732206,-0.017650237,0.0043520965
-0.07833906,-0.23242766,-0.0036715558,-0.0073411074,0.002430425,0.012601193,-0.0052388804,-0.0005379622,0.058891762,0.00013719834,0.0061451667,0.012524657,-0.005674558,-0.01369794,-0.026046086,0.0005474403,0.016521493,0.009796702,0.0026828328,0.020471947,0.015640963,0.008499967,0.003039364,0.033742927,0.0089520095,0.009148171,0.0014960805,0.0023020136,-0.0056594317,-0.01584443
-0.0047975346,-0.23751815,0.09133828,0.027604952,0.004221775,-0.005083682,-0.015550118,-0.023621118,-0.004685271,-0.014155449,-0.0045900787,0.0029454553,-0.0020223511,0.027151365,-0.0035867202,0.0017649038,-0.0062634586,-0.0013010014,0.010087709,0.035292983,0.010304299,0.0031035817,0.03047491,0.0172712,-0.0029680794,-0.008650861,0.00565977,0.0032096116,0.008747265,0.01985273
0.10501245,0.20634446,0.03475527,0.014636076,-0.028813906,-0.024942715,-0.016234988,-0.025907747,-0.0100912275,-0.003751723,-0.0044100485,-0.0009153757,-0.0017274475,-0.010450571,-0.008309329,0.0018470755,0.0013065895,-0.0009025217,0.0018199832,-0.0020417257,0.0035140328,0.00050616806,0.003401232,-0.00093443115,-0.0077239634,0.0008225455,-0.00558437,-0.002324641,-0.012291896,-0.004864791
-0.034102865,0.1202828,0.06525912,0.03103466,-0.00067584997,-0.0051097795,0.008985075,0.02236755,0.015112384,0.0116110835,-0.009873833,0.0021854418,0.0037003625,-0.0010624386,-0.0041756826,0.018460313,0.0030304198,0.004263798,0.0026070925,-0.00281209,-0.0016225529,0.0032228613,-0.001051719,-0.0015905019,0.0043716202,-0.005615361,-0.0050714654,0.0023131706,0.0015910609,0.01090976
-0.081015915,-0.29154047,0.013378294,-0.005903411,0.011795731,-0.01628966,0.008362677,-0.0024985932,-0.036033057,-0.010089377,-0.004962193,-0.004717015,-0.0032259515,-0.029167796,-0.019368991,0.0028251568,-0.0082783615,-0.0070034675,-0.0018082066,-0.0039565875,0.00792547,-0.00073781813,-0.0026647726,-0.0004909636,0.0027651642,-0.0015111958,0.008284308,-0.00317925,0.009478395,-0.0040107975
0.09268494,0.18468289,0.028087597,-0.0026618952,-0.0046190764,0.010255937,0.0061784443,-0.009556635,-0.008908261,0.0073416317,0.008347386,0.0057901167,0.0013043053,-0.004054706,0.0013289406,0.0069651953,0.0019192874,-0.009471855,-0.0018830991,0.0011757051,0.0023229753,0.0018586038,0.0053206473,-9.01225e-05,-0.010845699,0.0025648337,-0.0062965862,-3.2152417e-05,-0.00091478496,-0.00074366917
