bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30
-0.012699078,0.009004043,0.013802852,0.035825245,-0.009255213,0.08841444,0.04461939,0.010683224,0.0018372097,0.007911577,0.010654235,-0.0083249435,-0.020039992,0.0034936166,-0.00035436513,0.004478631,-0.0037672888,0.007871624,-0.017856654,0.009931833,0.0012586027,0.015045925,-0.008083634,-0.0077301925,-0.003396529,-0.0060660727,0.0034980183,-0.005488159,0.022287242,-0.0054808673
-0.0022657274,0.0043899603,0.021812556,0.013625092,0.007516522,0.085837334,0.033355538,0.012002474,0.01735721,0.0054116384,0.0101996185,0.00012939579,-0.014588471,0.0042134244,-0.0005472363,-0.00079768995,0.012174915,0.012711013,-0.008340667,0.01569836,-0.0007609631,-0.0034089095,0.027729178,0.021269988,0.002448366,0.0030850028,-0.009180256,0.015968982,-0.0047421562,0.00086132914
0.0029391784,-0.010971309,0.029571643,0.020976996,-0.01042796,0.0049029994,0.03278901,-0.01408865,0.006145801,-0.0015081296,0.030742515,0.01668504,0.0050577503,-0.0038081603,0.016546754,0.0051407185,0.01731444,0.0016922018,0.026142366,0.025750149,0.0032030377,0.006282041,0.033827983,0.01543627,-0.000988903,0.020842327,-0.00042444564,0.0024070707,-0.008617341,0.0014450158
-0.02429233,0.00024097208,0.03441201,0.032623846,-0.013948682,-0.059995323,0.03728529,-0.005523009,-0.03699541,0.00015089649,0.0154555,0.020955546,0.013827276,-0.007131726,0.031745125,0.0058998945,0.025267351,0.017294949,0.019668806,0.019633763,0.010995723,0.006884041,-0.005458002,-0.0013801167,-0.009307892,-0.0022323402,-0.00198045,0.011073352,-0.002617917,-0.00831788
-0.021744689,-0.02967435,-0.0072522564,-0.025754616,-0.014114102,-0.10155986,0.023085,-0.020360092,-0.0012162017,0.0041138735,0.003325878,-0.017561445,-0.023412488,0.0021875398,0.0015906311,0.00047702465,-0.013532497,-0.0015125363,-0.0031961442,-0.00039829288,-0.0073518143,0.0037631367,-0.013975112,0.058101386,0.007315469,-0.004136844,-0.0013290634,0.0056163017,-0.0043448154,0.0090253325
-0.0693031,0.020483524,0.0062426804,0.029894575,-0.00030834947,0.079840474,0.021280447,0.015899075,0.02676082,0.009459644,-0.0006000039,-0.0025395995,0.014194743,-0.0022099281,-0.005441888,0.005905737,-0.03951774,0.004727826,-0.015448191,-0.021701733,-0.0056204326,0.010020712,-0.0038406707,-0.024681415,-0.008653358,-0.0037282496,-0.0021862735,0.0050244285,-0.025339717,0.0008956078
-0.049266186,0.055384386,0.017492771,0.04459227,0.010205437,0.09410967,0.03451656,0.015902381,0.009083067,0.0115987435,-0.00516782,-0.004379311,0.00050353736,-0.0006797164,-0.010417655,0.0071590175,0.003599733,0.0050082807,-0.0189691,0.009245323,-0.00343498,0.010514712,-0.0011893546,0.011613621,-0.006107179,0.00037605216,-0.0006266972,0.0072613657,-0.004828299,0.0035345084
-0.0054842145,-0.028104868,0.0028847372,-0.0025707888,-0.022200212,0.07578218,0.03109842,-0.030047115,-0.0014938886,-0.006145516,-0.005980388,0.002772904,-0.023327703,-0.010554718,0.00076094584,-0.0022460904,0.0041456437,0.003092439,0.006698,0.004217677,-0.0071816444,7.663644e-05,-0.0015997983,0.016281946,-0.014541029,-0.0059106885,-0.008154443,0.0041703284,-0.0044642184,-0.0027129995
0.10789716,-0.021236943,-0.007761592,-0.017387161,-0.018779593,-0.08586708,-0.06565552,-0.015259149,-0.028128685,-0.00017400275,-0.0035039547,0.010471033,0.0054719746,0.0010163595,-0.008939307,0.0011260632,0.023500035,0.01161846,0.004091706,0.023523258,-0.027548814,-0.0007674089,-0.002797853,-0.05312335,-0.0001578459,0.026957776,0.0010304088,-0.0044331844,0.015326322,0.01474557
0.054030515,-0.020187825,-0.0003641709,0.014059654,0.0014214823,0.057153866,0.028452653,0.021222986,0.013858343,0.0066010705,-0.005796726,-0.005369044,-0.011584321,-0.01504366,0.00023567873,-0.001889046,0.0010492632,-0.016628813,0.007538308,0.016428621,-0.0040039993,0.007679767,0.015296049,-0.021173455,-0.008129606,-0.0029658275,0.008206894,-0.004624845,-0.01939729,-0.030838914
