feature,importance
bin1,0.4618717638248655
bin2,0.12807675741214716
bin3,0.11857269296478064
bin4,0.06260462281904182
bin5,0.011673640923292445
bin6,0.007002767555781843
bin7,0.009660002964859008
bin8,0.006130990642695853
bin9,0.0062082348290957295
bin10,0.005357108941197227
bin11,0.004366243498693109
bin12,0.004842335716596044
bin13,0.006501372986024871
bin14,0.007747739239806626
bin15,0.0074185976683534705
bin16,0.011380244056368461
bin17,0.0069621998239064314
bin18,0.007612649947194536
bin19,0.006456472116234199
bin20,0.008186823906788453
bin21,0.007939905974484624
bin22,0.01649553140654139
bin23,0.007899261748827848
bin24,0.006536997356020142
bin25,0.006933137239587313
bin26,0.006174682122748412
bin27,0.008802126317157186
bin28,0.007397662407552052
bin29,0.01789797290145426
bin30,0.025289460687903456
