Ne1,Ne2,Ne3,rep,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30
5357,3512,33828,1,0.0062178460485893,0.0057259611873223,0.0055043322583009,0.0053753428206816,0.0052995628769498,0.0052529625824235,0.0052060623660359,0.0051858199040102,0.0051785525619714,0.0051639069860962,0.0051812672025498,0.0051655541625494,0.0051343718384171,0.0051568476702372,0.0051140258012573,0.0051049061384593,0.0051001562802627,0.0051365772850927,0.0051462260718316,0.0051656790377386,0.0052095103701269,0.0052208859607897,0.0051922889643665,0.0052061566118376,0.0052101028705477,0.0052248791281073,0.0052126787343982,0.0051980158624346,0.0052111379270123,0.0053608629290648
41204,6787,6169,2,0.0061268192496658,0.0055562995130521,0.0053979183774632,0.0053360365209751,0.0052461525000525,0.0052352699621855,0.005213680984221,0.0052538263147145,0.0052995618672267,0.0052930431607781,0.0052236967853671,0.0052279022028528,0.0051595042685707,0.0051851737024965,0.0052124131228236,0.0051944253623409,0.0052453556403973,0.0052493643107167,0.005149431772092,0.0052713979757129,0.0052682492006074,0.0052371191086782,0.0052421144138654,0.0052360447314226,0.0052149275012704,0.0052724971496545,0.0052825074108424,0.0051848323202106,0.0052524017808595,0.0052864680510854
40803,18941,14970,3,0.0057012755293792,0.0053997253022515,0.0053360030596413,0.0052797708709857,0.0052315406251691,0.0052864608629932,0.0052496785017248,0.005271640029433,0.0052846329093592,0.0052812178614313,0.0052933410932479,0.005260861018685,0.0052370273659061,0.0052839587769262,0.0052815130395333,0.0052666481211234,0.0052371817773515,0.0052558945171218,0.0052294223547459,0.0051864348256604,0.0052516956915902,0.005288217077687,0.0052393215141622,0.0052408587749684,0.005200027094126,0.0051576742664306,0.0052404426720231,0.0052432881120744,0.0052404010058619,0.0052021668762825
13773,47475,33213,4,0.0056937879564194,0.0055442387676902,0.0054825368333711,0.0054588862132031,0.0054222457435058,0.0054391051253878,0.0054059522467566,0.0053887052656195,0.0053554001591943,0.005366895273146,0.0053698672091201,0.0053384838633156,0.0053447688516308,0.0053578682947494,0.0053378600121566,0.0053033794727934,0.0052977280344217,0.0053280652187938,0.0053407706710727,0.0053652651177962,0.0053497043874307,0.0053829310717432,0.0053689831546162,0.0053665842784166,0.0053557843429776,0.005340514148249,0.0053968869147399,0.005425279038998,0.0054503951185764,0.0054150329242315
34574,32186,10048,5,0.0056999852495635,0.0053979600742349,0.0053422649158973,0.0052998233307465,0.0052547590218738,0.0052715594991843,0.0053469352267533,0.00532075654648,0.0052558431915016,0.0052762318777759,0.0052635498001248,0.005315657612451,0.0052997399662044,0.0052692578758492,0.0052445442792759,0.0051925562282021,0.0052482425577895,0.0052511393297822,0.0051933453324219,0.0052583540059867,0.0052456310542537,0.0052763687418383,0.0053093275305459,0.0052980346880667,0.0052262901516803,0.0052372212347124,0.0052773975688947,0.0052763355948731,0.0052440860949887,0.0053175509385679
35382,13600,16380,6,0.0057461315828721,0.0054294009763154,0.0053587290169297,0.0052996059920132,0.0053343433603342,0.0052821921644227,0.0052693852575818,0.0052281638312824,0.0052222520325516,0.0052086667484641,0.0052361371738461,0.0051858346213733,0.0052282657232552,0.0051996858382908,0.005231338239714,0.0051945151470925,0.005182096327054,0.0051965687284781,0.0051811883649824,0.0052143900888787,0.0052054330791397,0.005215043055848,0.005197767374856,0.0051916761489965,0.0052038678958421,0.0053019491516888,0.0052389315444216,0.005225629643683,0.0051899265004695,0.0051363603527359
49218,27189,36829,7,0.0054255809912168,0.0052692571035787,0.0052377196718429,0.0052176327701718,0.0052318367622958,0.0052325410001138,0.0052310410657927,0.0052080609164495,0.0052056684703518,0.0052095645227325,0.005184266270873,0.005200411288749,0.0052167198668881,0.0051874327278742,0.0051884775967337,0.0051996578796563,0.0051785279495371,0.0052249014127718,0.0051971923233231,0.0051875605561579,0.0052195015445546,0.0052177176619148,0.005222113096757,0.0052147110269479,0.005188067063538,0.0052009969738845,0.0052118195797072,0.0052090067048656,0.0051921076670553,0.0051649644712894
38622,18837,1729,8,0.0072622058828929,0.005839536066162,0.005375961218947,0.0052673605897879,0.0051572828985861,0.0052548265964047,0.0051029613351217,0.0051597319395106,0.0051740609751142,0.0051155583867295,0.0051886484553273,0.0052317783174384,0.0052209266821544,0.0053404989271713,0.0053026658721963,0.0051585357387368,0.0052128947161897,0.0051326881672198,0.0052957076608208,0.0053910396459088,0.005174838113099,0.0053835942681249,0.0054676404043999,0.0051007995330846,0.0049431558394484,0.0049838319255657,0.0051391102548624,0.005146410178061,0.0054214665974864,0.0054365247817973
31811,45697,28003,9,0.0053639495226117,0.0052219645478273,0.0052029184263342,0.0052057650617147,0.0051904955916731,0.0052167735019299,0.005175569275225,0.0051607289797834,0.0051609065011441,0.0051708440195203,0.0051345100784667,0.005179002921191,0.0051544442283144,0.0051662254538313,0.0051556511821541,0.0051533943681349,0.0051366257637778,0.0051586657065464,0.0051491994782366,0.0051582709140899,0.0051592251773749,0.0051614476610753,0.0051753828773646,0.005177423006526,0.0052029235256627,0.0051853644814227,0.0051682793284693,0.0051554000632263,0.0052093041809207,0.00525167878121
14434,876,26963,10,0.0084150918858571,0.0069969404542237,0.0062389666733774,0.0058721646706977,0.0056219166961581,0.0054589016741169,0.0054012450967966,0.005303980670402,0.0052671837598528,0.0052198095322355,0.0052000660877294,0.0051501974777522,0.0051114455861716,0.0051054947167611,0.005093888855638,0.0051324202367583,0.0051883272635436,0.0051249737681176,0.0051156346448304,0.0050624527053604,0.0050480347212385,0.0050992449648463,0.0050130924117918,0.0050399067921948,0.0050503565559595,0.0050995389922234,0.0051468827834447,0.0050470144098087,0.004869376036607,0.0051018323601568
11716,8957,3529,11,0.0063331746534061,0.0054981352079051,0.0053396509944201,0.0051626283814687,0.0051272015599059,0.0051676867216816,0.005171922955165,0.0052162163361899,0.0051496978422172,0.0051066761686559,0.005159126288512,0.0051171745268079,0.0051594276402585,0.0050495930984121,0.0051379033093238,0.0052218356364149,0.0051757816483738,0.0052220919345416,0.0051775433584812,0.0051406130652857,0.0051349255172414,0.0051766201565606,0.0051941688771303,0.0052984194050725,0.0053004054569208,0.0052635265471917,0.005435468582531,0.0050830935758088,0.0053185773648946,0.0049542617498686
24218,12631,39700,12,0.0055545061299461,0.0053741734370734,0.0052872991847403,0.0052601113006949,0.005238786310104,0.0052303933598612,0.0052246156513995,0.0052268165236826,0.0052092292665331,0.005202472130195,0.0052192310006477,0.0051885289021793,0.0051728373821496,0.0051931847484158,0.0051832942427724,0.0051883613553504,0.0051862213339339,0.0052034042135528,0.0051954187763954,0.0051739808717077,0.005197192120292,0.0051944837384261,0.005194109264611,0.0052155747056432,0.0052139423906674,0.0052186956939912,0.0052053093936626,0.0051673777525993,0.0051535184302506,0.0051774024002479
7872,10585,41015,13,0.0057396406897558,0.0055562575302186,0.0054713456875996,0.0054074070669851,0.0053630828681233,0.0053380989092183,0.0053045902238393,0.0052914686262607,0.0053011344564791,0.0052935754080168,0.0052900966229717,0.0052670206916949,0.0052428194722564,0.005236608337324,0.0052345736665338,0.0052269001908121,0.0052161120438795,0.00523058081133,0.0052018279420519,0.0052046684673764,0.0052044784602731,0.0051772269442393,0.0051798018676586,0.0051677248414994,0.0052415702070454,0.0052092810504823,0.0051398549479122,0.0050626938586735,0.0050506773506052,0.0050686320920244
36680,46785,30219,14,0.005370849040157,0.0052376400854932,0.0052182298901499,0.0052082183349445,0.0051909226896912,0.0051748429103614,0.0052135620749799,0.005183941133979,0.0051700107567877,0.005193992322537,0.0051993249651994,0.005220147670173,0.0052159003850844,0.0051865661357552,0.0052110059953068,0.0052042895547841,0.0052208742045613,0.0052002477851026,0.0051881851212206,0.0052046179765837,0.0051974089823938,0.0052017105317917,0.0051947879046253,0.0052288540005326,0.0052432367080974,0.0052087879553412,0.0052019521058918,0.0051936949911829,0.0052529297008638,0.0053110931661621
39080,2721,11829,15,0.0065000735573991,0.0058066296824867,0.0055819178009572,0.0054079848150208,0.005345211362029,0.0052984512654233,0.0052788411515507,0.0052715456706471,0.0052650480916064,0.0052742638893608,0.005241506647904,0.0052649744811537,0.0052576479520118,0.0052290643765712,0.0052440096571348,0.0052495191344341,0.0051984183282154,0.005185843787287,0.0051378778882936,0.0051585414281442,0.00513959749988,0.0051540768561973,0.0051332580182829,0.0051692524785195,0.0051212595204634,0.0051381532540474,0.0051929641871661,0.0051744217643244,0.0051079382696063,0.0050906618531955
24753,19056,19219,16,0.0056649174564225,0.0054222124700684,0.0053184552726496,0.0052896284414704,0.0052487768275511,0.0052556184609146,0.0052728617038079,0.0052562207257956,0.0052090174496153,0.005198477716226,0.0051752470985993,0.0052025837025466,0.0052518329303175,0.0052098207602976,0.0052469072924217,0.0052030107400265,0.0052394687711513,0.0051912872517876,0.0051652921117481,0.0051806054268044,0.0052183825831997,0.0052622813764135,0.0052929835611475,0.0052504903858482,0.005225305966694,0.0051977039250067,0.005277991854824,0.0052948634269928,0.0052539391996531,0.0053101737188571
997,14279,22528,17,0.0065891971128557,0.0062461129355981,0.0061068219707019,0.0059993687027157,0.0059119789347798,0.0058422655011727,0.0058217255335159,0.0057550892774032,0.0057238163530839,0.0057080818775399,0.0056656304867067,0.0056012893489645,0.0055916765358946,0.0056052134802566,0.005555885758005,0.0055275998058914,0.0055109555036393,0.0054841585475915,0.0054919655737244,0.0054184824720125,0.0053601293684824,0.0053405764156633,0.0052972772269762,0.0053067053253074,0.0053142535053905,0.0052528139511452,0.0051904840825166,0.005128088517313,0.0050186340168201,0.005109265364851
3754,9117,8815,18,0.0061369715293174,0.0056384208733128,0.0055676918026834,0.0054759389016623,0.0054153366264669,0.0054173422393534,0.0053461463440344,0.0053251213145413,0.0052984079133655,0.0053076158017159,0.0052899054755121,0.005248024713459,0.005274844983398,0.0051935172305595,0.0052593935644129,0.005211151272389,0.0051878505540979,0.0051441019318574,0.0051531677955204,0.0051423962941799,0.0051195104185303,0.0051506440511259,0.0051039803953635,0.0050751154792267,0.0051168188072823,0.0050817493092078,0.0050921971289766,0.005059933142709,0.0050833223045285,0.0049915260413004
37523,26063,44171,19,0.0055054821469148,0.0054077378100311,0.0053473569459819,0.0053371303968071,0.0053411043559936,0.0053199052735916,0.0053024576652159,0.0052924874135475,0.0052835212638205,0.0052718298105072,0.0052780448156572,0.0052650767206826,0.0052856140316174,0.005267597880497,0.0052439292190336,0.0052673445124453,0.0052763236476832,0.0052549815543781,0.0052696927146352,0.0052607975428487,0.0052749744434654,0.0052718533418201,0.0052906271695473,0.0053020265741184,0.0053089392372127,0.0052839145709961,0.0052696333369994,0.0052838166020661,0.0052450043523132,0.005210184741724
22726,47331,39618,20,0.0053848581111103,0.0053082202862454,0.0052672155770105,0.0052643009890743,0.0052692728469054,0.0052504388295585,0.0052574268511631,0.0052557403266548,0.0052318671684018,0.0052334071551002,0.00524214561103,0.0052260497059065,0.0052255327450068,0.0052199090619647,0.0052023939248372,0.0052242861123975,0.0052017059110897,0.0052023488353329,0.0052075568119548,0.0051895968859782,0.0051807250564464,0.0051855432107776,0.0051958965210078,0.0051957587182599,0.0051975924554228,0.005204641597224,0.0051654194487413,0.0052037048879848,0.005193125668084,0.0051749932065504
