feature,importance
bin1,0.9297700637682064
bin2,0.05403902557274658
bin3,0.0034297685058692308
bin4,0.000792529939967165
bin5,0.0009958794756170061
bin6,0.0004109047021949117
bin7,0.0006750506137413896
bin8,0.00034618278201901953
bin9,0.0006375477856928566
bin10,0.0003412278384814567
bin11,0.0004699785333361867
bin12,0.0007855358081108986
bin13,0.00022602980443547192
bin14,0.00015960846805242317
bin15,0.00012907283865354406
bin16,0.0002441605203545849
bin17,0.0003324522053681643
bin18,0.0004938169761654928
bin19,0.0008510482509649869
bin20,0.000542710038437964
bin21,0.000570493164662229
bin22,0.0007462773934067349
bin23,0.0003163115871410829
bin24,0.0003685466411543699
bin25,0.0004642682299578156
bin26,0.00021704588869679957
bin27,0.00028776078740185175
bin28,0.00040665533781583
bin29,0.0002775714322570393
bin30,0.0006724751090906748
